"TIME","GEO","CITIZEN","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2013","Belgium","Total","Total","Total","Number","11,161,642",""
"2013","Bulgaria","Total","Total","Total","Number","7,284,552",""
"2013","Czech Republic","Total","Total","Total","Number","10,516,125",""
"2013","Denmark","Total","Total","Total","Number","5,602,628",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Number","82,020,578",""
"2013","Estonia","Total","Total","Total","Number","1,320,174",""
"2013","Ireland","Total","Total","Total","Number","4,591,087",""
"2013","Greece","Total","Total","Total","Number","11,003,615",""
"2013","Spain","Total","Total","Total","Number","46,727,890",""
"2013","France","Total","Total","Total","Number","65,560,721","p"
"2013","Croatia","Total","Total","Total","Number","4,262,140",""
"2013","Italy","Total","Total","Total","Number","59,685,227",""
"2013","Cyprus","Total","Total","Total","Number","865,878",""
"2013","Latvia","Total","Total","Total","Number","2,023,825",""
"2013","Lithuania","Total","Total","Total","Number","2,971,905",""
"2013","Luxembourg","Total","Total","Total","Number","537,039",""
"2013","Hungary","Total","Total","Total","Number","9,908,798",""
"2013","Malta","Total","Total","Total","Number","421,364",""
"2013","Netherlands","Total","Total","Total","Number","16,779,575",""
"2013","Austria","Total","Total","Total","Number","8,451,149",""
"2013","Poland","Total","Total","Total","Number","38,062,535","p"
"2013","Portugal","Total","Total","Total","Number","10,487,289",""
"2013","Romania","Total","Total","Total","Number","20,020,074","b"
"2013","Slovenia","Total","Total","Total","Number","2,058,821",""
"2013","Slovakia","Total","Total","Total","Number","5,410,836",""
"2013","Finland","Total","Total","Total","Number","5,426,674",""
"2013","Sweden","Total","Total","Total","Number","9,555,893",""
"2013","United Kingdom","Total","Total","Total","Number","63,905,297",""
"2013","Iceland","Total","Total","Total","Number","321,857",""
"2013","Liechtenstein","Total","Total","Total","Number","36,838",""
"2013","Norway","Total","Total","Total","Number","5,049,223",""
"2013","Switzerland","Total","Total","Total","Number","8,039,060",""
"2013","Montenegro","Total","Total","Total","Number",":",""
"2013","Former Yugoslav Republic of Macedonia, the","Total","Total","Total","Number",":",""
"2013","Albania","Total","Total","Total","Number",":",""
"2013","Turkey","Total","Total","Total","Number","75,627,384",""
"2013","Andorra","Total","Total","Total","Number",":",""
"2013","Moldova","Total","Total","Total","Number",":",""
"2013","Ukraine","Total","Total","Total","Number",":",""
"2013","Tajikistan","Total","Total","Total","Number",":",""
"2013","Uzbekistan","Total","Total","Total","Number",":",""
"2013","Armenia","Total","Total","Total","Number",":",""
"2013","Azerbaijan","Total","Total","Total","Number",":",""
"2013","Israel","Total","Total","Total","Number",":",""
