TIME,GEO,Immigration,Population,
2013,Belgium,118256,11161642,10.6
2013,Bulgaria,18570,7284552,2.5
2013,Czech Republic,30124,10516125,2.9
2013,Denmark,60312,5602628,10.8
2013,Germany (until 1990 former territory of the FRG),692713,82020578,8.4
2013,Estonia,4109,1320174,3.1
2013,Ireland,59294,4591087,12.9
2013,Greece,57946,11003615,5.3
2013,Spain,280772,46727890,6.0
2013,France,332640,65560721,5.1
2013,Croatia,10378,4262140,2.4
2013,Italy,307454,59685227,5.2
2013,Cyprus,13149,865878,15.2
2013,Latvia,8299,2023825,4.1
2013,Lithuania,22011,2971905,7.4
2013,Luxembourg,21098,537039,39.3
2013,Hungary,38968,9908798,3.9
2013,Malta,8428,421364,20.0
2013,Netherlands,129428,16779575,7.7
2013,Austria,101866,8451149,12.1
2013,Poland,220311,38062535,5.8
2013,Portugal,17554,10487289,1.7
2013,Romania,153646,20020074,7.7
2013,Slovenia,13871,2058821,6.7
2013,Slovakia,5149,5410836,1.0
2013,Finland,31941,5426674,5.9
2013,Sweden,115845,9555893,12.1
2013,United Kingdom,526046,63905297,8.2
2013,Iceland,6406,321857,19.9
2013,Liechtenstein,696,36838,18.9
2013,Norway,68313,5049223,13.5
2013,Switzerland,160157,8039060,19.9
2013,Montenegro,:,,
2013,"Former Yugoslav Republic of Macedonia, the",:,,
2013,Turkey,:,,
2013,Andorra,:,,
2013,Belarus,:,,
2013,Bosnia and Herzegovina,:,,
2013,Moldova,:,,
2013,Russia,:,,
2013,San Marino,:,,
2013,United States,:,,
2013,Kyrgyzstan,:,,
2013,Tajikistan,:,,
2013,Uzbekistan,:,,
2013,Armenia,:,,
2013,Azerbaijan,:,,
